latitude,longitude,elevation_m,cumulative_distance_km,segment_distance_km,slope_percent,arrival_timestamp,vehicle_speed_kmh,duration_hours,temperature,rainfall,wind_speed,cloud_cover,predicted_ghi,predicted_direct_radiation,predicted_dhi,predicted_dni,solar_timestamp,solar_latitude,solar_longitude,solar_vehicle_speed_kmh,solar_ghi_w_m2,solar_direct_radiation_w_m2,solar_dhi_w_m2,solar_dni_w_m2,solar_cloud_cover_percent,solar_ambient_temperature_c,solar_wind_speed_kmh,solar_solar_elevation_deg,solar_solar_azimuth_deg,solar_poa_irradiance_w_m2,solar_tilt_factor,solar_cloud_correction_factor,solar_effective_irradiance_w_m2,solar_cell_temperature_c,solar_temperature_derating_factor,solar_adjusted_panel_efficiency,solar_solar_power_w,solar_net_solar_power_w,solar_duration_hours,solar_solar_energy_wh,solar_solar_energy_kwh,solar_distance_km,elevation_gain_m,rolling_resistance_force_n,aerodynamic_drag_force_n,rolling_energy_wh,drag_energy_wh,elevation_energy_wh,temperature_energy_factor,energy_consumed_wh,net_energy_consumption_wh,battery_remaining_wh,battery_remaining_percent,cumulative_distance_km,average_net_energy_wh_per_km,remaining_range_km,weather_risk,cumulative_solar_energy_wh
9.9312901,76.2673242,0.0,0.0,10.003132549994309,0.0,2026-06-25 08:00:00.000000000,55.0,0.18187514,25.67,0.0,7.23,60.71555555555555,176.78,123.11352044444446,53.66647955555554,246.22704088888895,2026-06-25 08:00:00,9.9312901,76.2673242,55.0,176.78,123.11352044444446,53.66647955555554,246.22704088888895,60.71555555555555,25.67,7.23,32.03,68.495,184.255,1.04228,0.60535,111.539,27.348,0.99061,0.21793,48.616,46.185,0.18187513947486877,8.4,0.0084,10.003,0.0,147.09975,96.63504,454.1538,298.34973,0.0,1.0367,780.12036,771.7204,59228.28,98.7138,10.003133,77.14787,767.7241,0.18214666666666662,8.4
9.97146,76.31799,6.0,10.003132549994309,10.034327751481023,0.059981212,2026-06-25 08:10:54.750494182,55.0,0.18244232,25.67,0.0,7.23,63.44270139586017,176.78,120.7029962361992,56.0770037638008,241.40599247239842,2026-06-25 08:10:54,9.97146,76.31799,55.0,176.78,120.7029962361992,56.0770037638008,241.40599247239842,63.44270139586017,25.67,7.23,34.586,68.338,193.111,1.09238,0.58762,113.476,27.409,0.99037,0.21788,49.448,46.976,0.1824423223733902,8.57,0.00857,10.034,6.0,147.09975,96.63504,455.5701,299.28012,27.240694,1.0367,810.79364,802.22363,58426.055,97.37676,20.03746,78.55008,743.80646,0.1903281041875805,16.97
10.05746,76.32154,15.0,20.03746030147533,10.022352904196417,0.08969211,2026-06-25 08:21:51.542856097,55.0,0.1822246,25.67,0.0,7.23,65.96658421262241,176.78,118.47213621446306,58.30786378553694,236.94427242892615,2026-06-25 08:21:51,10.05746,76.32154,55.0,176.78,118.47213621446306,58.30786378553694,236.94427242892615,65.96658421262241,25.67,7.23,37.125,68.15,201.317,1.1388,0.57122,114.996,27.456,0.99018,0.21784,50.101,47.596,0.1822246015071869,8.673,0.00867,10.022,9.0,147.09975,96.63504,455.02643,298.92297,40.861042,1.0367,823.98,815.307,57610.75,96.017914,30.059813,79.48323,724.81647,0.19789975263786722,25.643
10.1302,76.34888,10.0,30.059813205671748,9.95824389352109,-0.049888484,2026-06-25 08:32:47.551409826,55.0,0.18105897,25.67,0.0,7.23,68.09574253150672,176.78,116.59017317640121,60.18982682359879,233.18034635280245,2026-06-25 08:32:47,10.1302,76.34888,55.0,176.78,116.59017317640121,60.18982682359879,233.18034635280245,68.09574253150672,25.67,7.23,39.672,67.881,209.051,1.18255,0.55738,116.52,27.504,0.98998,0.2178,50.756,48.218,0.18105897307395935,8.73,0.00873,9.958,0.0,147.09975,96.63504,452.11578,297.0109,0.0,1.0367,776.6196,767.88965,56842.86,94.7381,40.01806,78.8929,720.50665,0.20428722759452014,34.373000000000005
10.1995,76.38418,16.0,40.01805709919284,9.987988087359795,0.060251586,2026-06-25 08:43:39.363737401,55.0,0.18159978,25.67,0.0,7.23,69.90895632257299,176.78,114.98747350647774,61.79252649352226,229.9749470129555,2026-06-25 08:43:39,10.1995,76.38418,55.0,176.78,114.98747350647774,61.79252649352226,229.9749470129555,69.90895632257299,25.67,7.23,42.205,67.531,216.285,1.22347,0.54559,118.003,27.55,0.9898,0.21776,51.392,48.822,0.18159978091716766,8.866,0.00887,9.988,6.0,147.09975,96.63504,453.46622,297.898,27.240694,1.0367,807.17975,798.3137,56044.547,93.40758,50.006046,79.099525,708.53204,0.20972686896771897,43.239000000000004
10.27556,76.34526,23.0,50.00604518655263,10.003598792493875,0.070084184,2026-06-25 08:54:33.122957666,55.0,0.18188362,25.58,0.0,7.02,71.5408298401208,176.31,113.24318145444153,63.066818545558476,226.48636290888308,2026-06-25 08:54:33,10.27556,76.34526,55.0,176.31,113.24318145444153,63.066818545558476,226.48636290888308,71.5408298401208,25.58,7.02,44.673,67.11,222.299,1.26084,0.53498,118.927,27.541,0.98983,0.21776,51.796,49.206,0.18188361823558807,8.95,0.00895,10.004,7.0,147.09975,95.98393,454.17496,296.35333,31.78081,1.0358,810.31573,801.3658,55243.18,92.07197,60.009644,79.2676,696.92004,0.21462248952036236,52.18900000000001
10.35635,76.31663,10.0,60.00964397904651,9.994608225619892,-0.12995324,2026-06-25 09:05:27.903969538,55.0,0.18172015,26.28,0.0,7.12,52.60776250959693,308.11,227.06511146584046,81.04488853415955,321.1185601767501,2026-06-25 09:05:27,10.35635,76.31663,55.0,308.11,227.06511146584046,81.04488853415955,321.1185601767501,52.60776250959693,26.28,7.12,47.143,66.593,316.443,1.02705,0.65805,208.235,31.007,0.97597,0.21471,89.422,84.951,0.18172015249729156,15.437,0.01544,9.995,0.0,147.09975,96.29371,453.76678,297.04254,0.0,1.0428,782.944,767.50696,54475.67,90.792786,70.00425,78.91417,690.3155,0.1578232875287908,67.626
10.4249,76.26782,17.0,70.0042522046664,10.014183540907638,0.07003776,2026-06-25 09:16:22.096507940,55.0,0.18207607,26.28,0.0,7.12,54.63891629103308,308.11,223.936017507849,84.17398249215103,316.6933530634189,2026-06-25 09:16:22,10.4249,76.26782,55.0,308.11,223.936017507849,84.17398249215103,316.6933530634189,54.63891629103308,26.28,7.12,49.584,65.954,325.292,1.05577,0.64485,209.764,31.055,0.97578,0.21467,90.061,85.557,0.18207606673240662,15.578,0.01558,10.014,7.0,147.09975,96.29371,454.65552,297.62433,31.78081,1.0428,817.61847,802.04047,53673.633,89.456055,80.01843,79.06138,678.8856,0.16391674887309923,83.20400000000001
10.51217,76.25844,31.0,80.01843574557404,9.99373574221498,0.13980171,2026-06-25 09:27:17.570339712,55.0,0.18170428,26.28,0.0,7.12,56.406842768498564,308.11,221.21243837298954,86.89756162701048,312.8416305127043,2026-06-25 09:27:17,10.51217,76.25844,55.0,308.11,221.21243837298954,86.89756162701048,312.8416305127043,56.406842768498564,26.28,7.12,52.055,65.189,333.606,1.08275,0.63336,211.291,31.103,0.97559,0.21463,90.699,86.164,0.18170428276062012,15.656,0.01566,9.994,14.0,147.09975,96.29371,453.72717,297.01663,63.56162,1.0428,849.1577,833.5017,52840.13,88.06689,90.01217,79.54334,664.2935,0.1692205283054957,98.86000000000001
10.55653,76.32354,18.0,90.01217148778902,10.005801032201731,-0.13008149,2026-06-25 09:38:11.705770111,55.0,0.18192366,26.28,0.0,7.12,57.948910599858095,308.11,218.83680577538863,89.27319422461139,309.4819786739614,2026-06-25 09:38:11,10.55653,76.32354,55.0,308.11,218.83680577538863,89.27319422461139,309.4819786739614,57.948910599858095,26.28,7.12,54.554,64.179,341.396,1.10803,0.62333,212.803,31.15,0.9754,0.21459,91.33,86.764,0.18192365765571594,15.784,0.01578,10.006,0.0,147.09975,96.29371,454.27493,297.3752,0.0,1.0428,783.8208,768.0368,52072.094,86.78682,100.017975,79.26481,656.93835,0.17384673179957427,114.64400000000002
